episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank,n de paginas,rating_imdb,votes_imdb,puntuacion_MAL,votos_MAL
152,"['April 27, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],13.9,5,17.0,8.3,1650.0,9.2,468
153,"['May 4, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Junji Shimizu'],12.1,4,33.0,7.7,1416.0,8.8,356
154,"['May 11, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Yoko Ikeda'],12.6,5,31.0,7.4,1405.0,8.8,337
155,"['May 18, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Yūki Kinoshita'],['Hidehiko Kadota'],13.6,6,18.0,7.4,1381.0,8.6,359
156,"['June 8, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Junichi Fujise'],12.8,4,13.0,7.5,1369.0,8.6,324
157,"['June 15, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Masayuki Takagi'],['Ken Koyama'],11.9,6,15.0,7.3,1359.0,8.6,302
158,"['June 22, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],12.9,6,17.0,7.6,1384.0,8.6,313
159,"['July 6, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Junji Shimizu'],12.4,7,15.0,7.5,1356.0,8.8,332
160,"['July 13, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Hidehiko Kadota'],12.6,6,18.0,7.5,1355.0,8.4,365
161,"['July 20, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Katsumi Tokoro'],10.1,8,12.0,7.3,1363.0,8.4,304
162,"['August 3, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Noboru Koizumi'],['Munehisa Sakai'],10.0,9,18.0,7.7,1348.0,8.4,307
163,"['August 10, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Yūki Kinoshita'],['Ken Koyama'],10.2,6,31.0,7.6,1338.0,8.6,309
164,"['August 17, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Kōnosuke Uda'],12.9,5,15.0,7.8,1379.0,9.0,351
165,"['August 24, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kunihiro Chida']",['Masayuki Takagi'],['Junichi Fujise'],10.7,5,17.0,7.6,1322.0,8.6,321
166,"['September 7, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Hideaki Naniwa'],['Yoko Ikeda'],12.4,5,17.0,7.3,1342.0,8.8,353
167,"['September 21, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Shigeyasu Yamauchi'],13.2,4,16.0,7.4,1310.0,8.6,310
168,"['October 12, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Eisaku Inoue'],['Hiroyuki Kakudō'],8.9,7,17.0,7.3,1343.0,8.4,307
169,"['October 19, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Yūki Kinoshita'],['Munehisa Sakai'],12.4,3,10.0,7.7,1398.0,8.8,310
170,"['October 19, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Ken Koyama'],12.4,3,7.0,7.9,1435.0,8.8,368
171,"['October 26, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Katsumi Tokoro'],10.4,8,15.0,7.6,1358.0,8.4,317
172,"['November 2, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Hidehiko Kadota'],12.4,3,2.0,7.7,1361.0,8.6,313
173,"['November 9, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Kōnosuke Uda'],14.3,2,13.0,7.8,1387.0,9.0,276
174,"['November 16, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Naoki Tate'],['Yoko Ikeda'],13.8,2,28.0,7.9,1427.0,9.0,296
175,"['December 21, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Eisaku Inoue'],['Junichi Fujise'],11.6,5,28.0,7.7,1357.0,8.8,322
176,"['January 11, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Munehisa Sakai'],10.7,4,5.0,7.9,1421.0,8.8,287
177,"['January 18, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Ken Koyama'],12.4,5,17.0,7.8,1397.0,8.6,268
178,"['January 25, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Yūki Kinoshita'],['Hidehiko Kadota'],11.6,6,9.0,8.3,1867.0,8.8,291
179,"['February 1, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Katsumi Tokoro'],12.4,7,4.0,8.1,1498.0,8.8,272
180,"['February 8, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Yukio Kaizawa'],12.8,5,17.0,8.9,3178.0,9.0,346
181,"['February 15, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Yoko Ikeda'],11.8,7,5.0,8.2,1478.0,9.0,280
182,"['February 22, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Kōnosuke Uda'],11.9,6,1.0,9.0,3312.0,9.4,384
183,"['February 29, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Takahiro Imamura'],11.4,7,17.0,9.0,3255.0,9.2,316
184,"['March 7, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Yūki Kinoshita'],['Ken Koyama'],11.9,5,17.0,8.0,1436.0,8.8,289
185,"['March 14, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Munehisa Sakai'],9.9,7,12.0,8.7,2708.0,9.0,305
186,"['March 21, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Hidehiko Kadota'],11.3,6,1.0,7.8,1341.0,8.6,244
187,"['March 28, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Hiroyuki Kakudō'],13.7,1,42.0,7.7,1411.0,8.4,271
188,"['March 28, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Yūki Kinoshita'],['Takahiro Imamura'],13.7,1,19.0,7.8,1432.0,8.6,268
189,"['April 4, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Katsumi Tokoro'],12.3,4,15.0,9.1,3436.0,9.2,354
190,"['April 25, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Ken Koyama'],9.8,7,17.0,8.0,1409.0,8.8,300
191,"['May 2, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Yoko Ikeda'],10.2,5,9.0,8.2,1411.0,8.8,250
192,"['May 9, 2004']",['Hirohiko Kamisaka'],['Tomoko Yoshida'],['Kazuya Hisada'],['Hidehiko Kadota'],11.0,5,15.0,9.3,3862.0,9.4,348
193,"['May 23, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],12.0,4,17.0,8.0,1483.0,8.8,329
194,"['June 6, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Junichi Fujise'],11.7,4,17.0,8.0,1395.0,9.2,286
195,"['June 13, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Munehisa Sakai'],10.0,7,17.0,7.7,1322.0,9.0,391
196,"['June 20, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Takahiro Imamura'],12.2,3,0.0,7.1,1131.0,8.8,263
197,"['July 4, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Ken Koyama'],10.4,6,0.0,7.3,1126.0,8.8,232
198,"['July 11, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Hiroyuki Kakudō'],11.7,4,0.0,7.1,1116.0,8.6,226
199,"['July 18, 2004']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Mamoru Hosoda'],9.9,9,0.0,7.4,1146.0,9.0,247
200,"['August 8, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Munehisa Sakai'],9.2,7,0.0,7.5,1125.0,8.6,498
201,"['September 5, 2004']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Hidehiko Kadota'],9.4,8,0.0,7.3,1064.0,8.6,244
202,"['September 12, 2004']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Kōnosuke Uda'],11.1,6,0.0,7.3,1072.0,9.2,207
203,"['September 19, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Hiroyuki Kakudō'],11.2,5,2.0,7.0,1081.0,8.6,223
204,"['October 3, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Katsumi Tokoro'],15.2,1,0.0,7.2,1056.0,8.6,180
205,"['October 3, 2004']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Ken Koyama'],15.2,1,0.0,7.2,1057.0,8.6,207
206,"['October 10, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Takahiro Imamura'],10.8,4,0.0,7.6,1105.0,8.8,339
207,"['October 31, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Junichi Fujise'],10.8,7,5.0,7.2,1252.0,8.4,383
208,"['November 7, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hiroyuki Kakudō'],11.7,5,25.0,7.0,1235.0,8.4,256
209,"['November 14, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Hidehiko Kadota'],13.2,5,20.0,7.1,1218.0,8.2,261
210,"['November 21, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Ken Koyama'],11.0,7,34.0,7.0,1221.0,8.2,264
211,"['November 28, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Takahiro Imamura'],12.4,6,17.0,7.2,1232.0,8.0,247
212,"['December 5, 2004']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Katsumi Tokoro'],12.0,6,17.0,7.5,1228.0,8.6,270
213,"['December 12, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Munehisa Sakai'],11.4,7,0.0,6.9,1147.0,8.2,218
214,"['December 19, 2004']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Hiroyuki Kakudō'],13.8,1,0.0,7.3,1134.0,8.6,217
215,"['January 9, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Ken Koyama'],11.0,4,1.0,6.6,1192.0,7.4,247
216,"['January 9, 2005']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Hidehiko Kadota'],11.0,4,0.0,6.5,1175.0,6.6,234
217,"['January 16, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Yoko Ikeda'],11.8,3,24.0,6.8,1246.0,8.0,220
218,"['January 23, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],11.9,5,34.0,6.9,1236.0,7.8,236
219,"['January 30, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Naoki Tate'],['Takahiro Imamura'],10.9,7,19.0,7.3,1185.0,8.2,250
220,"['February 6, 2005']","['Junki Takegami', 'Hito Koyama(assistant)']","['Miyuki Sato', 'Kunihiro Chida']",['Eisaku Inoue'],['Munehisa Sakai'],11.2,6,0.0,7.0,1092.0,8.2,251
221,"['February 13, 2005']","['Hirohiko Kamisaka', 'Hito Koyama(assistant)']","['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Katsumi Tokoro'],10.6,6,0.0,6.9,1081.0,8.4,176
222,"['February 20, 2005']","['Yoshiyuki Suga', 'Hito Koyama(assistant)']","['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Ken Koyama'],10.9,6,0.0,6.6,990.0,8.2,163
223,"['February 27, 2005']","['Junki Takegami', 'Hito Koyama(assistant)']","['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Hidehiko Kadota'],10.9,5,0.0,6.9,981.0,8.6,183
224,"['March 6, 2005']","['Hirohiko Kamisaka', 'Hito Koyama (assistant)']","['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Takahiro Imamura'],11.5,6,0.0,6.7,976.0,8.2,195
225,"['March 13, 2005']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Tadami Shimokawa']",['Naoki Tate'],['Yoko Ikeda'],10.5,7,1.0,6.3,1026.0,7.6,206
226,"['March 20, 2005']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Katsumi Tokoro'],10.5,6,1.0,6.5,1059.0,8.2,235
227,"['March 27, 2005']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hidehiko Kadota'],10.4,4,29.0,8.9,3377.0,9.2,305
228,"['March 27, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Yoko Ikeda'],10.4,4,28.0,8.2,1689.0,9.0,304
229,"['April 17, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Masayuki Takagi'],['Munehisa Sakai'],12.5,4,25.0,7.6,1350.0,8.8,269
230,"['April 24, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Kōnosuke Uda'],13.2,4,6.0,7.6,1292.0,8.8,318
231,"['May 1, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Yuji Kondou'],['Yoshio Mukainakano'],11.0,6,3.0,7.6,1283.0,8.8,252
232,"['May 15, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Kōnosuke Uda'],11.4,5,3.0,7.7,1276.0,8.8,252
233,"['May 22, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Naoki Tate'],['Hiroaki Miyamoto'],12.2,4,26.0,7.9,1333.0,9.0,289
234,"['June 5, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Kenji Yokoyama'],['Hidehiko Kadota'],10.0,6,25.0,9.1,3571.0,9.4,396
235,"['June 12, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Masayuki Takagi'],['Katsumi Tokoro'],12.0,2,21.0,9.4,5004.0,9.6,513
236,"['June 19, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Munehisa Sakai'],11.9,4,9.0,9.7,10547.0,9.6,688
237,"['July 3, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Eisaku Inoue'],['Yoko Ikeda'],11.6,4,29.0,7.7,1274.0,8.8,266
238,"['July 10, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Yuji Kondou'],['Yoshio Mukainakano'],10.2,7,3.0,8.0,1326.0,9.0,256
239,"['July 31, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Morio Hatano'],9.1,5,4.0,7.8,1252.0,9.0,246
240,"['August 7, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Hiroaki Miyamoto'],8.7,5,9.0,8.0,1369.0,9.0,329
241,"['August 14, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Masayuki Takagi'],['Hidehiko Kadota'],9.4,4,20.0,7.7,1247.0,9.0,238
242,"['August 21, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Kenji Yokoyama'],['Katsumi Tokoro'],10.4,3,32.0,8.1,1353.0,9.2,253
243,"['September 4, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Kōnosuke Uda'],10.2,5,1.0,9.1,3476.0,9.4,316
244,"['September 11, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Eisaku Inoue'],['Munehisa Sakai'],12.6,3,18.0,9.0,3115.0,9.2,275
245,"['September 18, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']","['Kouji Sugimoto', 'Kiyoshi Matsushita']",['Hidehiko Kadota'],10.0,6,15.0,8.5,1925.0,9.2,281
246,"['October 23, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Yoko Ikeda'],16.7,1,32.0,8.0,1342.0,9.0,240
247,"['October 30, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Morio Hatano'],13.3,3,1.0,8.2,1380.0,9.0,273
248,"['November 6, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Hiroaki Miyamoto'],11.2,3,10.0,8.2,1360.0,9.2,254
249,"['November 13, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Naoki Tate'],['Katsumi Tokoro'],11.7,5,4.0,8.2,1370.0,9.0,246
250,"['November 27, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Kenji Yokoyama'],['Ken Koyama'],9.8,6,30.0,9.0,3187.0,8.8,381
251,"['November 27, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Munehisa Sakai'],9.8,6,4.0,8.9,2694.0,9.2,307
252,"['December 4, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Yukihiko Nakao'],10.3,3,24.0,8.0,1304.0,9.0,267
253,"['December 11, 2005']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Yoko Ikeda'],10.0,6,9.0,7.8,1263.0,9.0,239
254,"['January 22, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Tadami Shimokawa']",['Naoki Tate'],['Morio Hatano'],10.7,3,17.0,8.1,1358.0,9.2,271
255,"['January 29, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Ken Koyama'],11.3,3,20.0,7.9,1277.0,9.0,259
256,"['February 5, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Hiroaki Miyamoto'],11.3,3,15.0,7.8,1232.0,9.0,242
257,"['February 26, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Masayuki Takagi'],['Yukihiko Nakao'],10.9,3,21.0,8.0,1299.0,9.2,262
258,"['March 5, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Munehisa Sakai'],11.4,5,17.0,8.0,1338.0,9.4,263
259,"['March 12, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Noboru Koizumi'],['Ken Koyama'],9.7,6,2.0,7.3,1215.0,8.6,220
260,"['March 19, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Yoko Ikeda'],8.7,6,22.0,7.7,1226.0,9.0,289
261,"['April 2, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Morio Hatano'],13.9,1,15.0,7.9,1268.0,9.0,228
262,"['April 16, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Yukihiko Nakao'],9.9,4,24.0,8.3,1606.0,9.2,207
263,"['April 30, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Katsumi Ishizuka'],['Hiroaki Miyamoto'],11.1,5,16.0,8.0,1265.0,8.8,281
264,"['May 21, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Munehisa Sakai'],9.2,6,19.0,8.0,1299.0,9.4,276
265,"['June 4, 2006']",['Hirohiko Kamisaka'],"['Miho Shiraishi', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Hiroyuki Kakudō'],10.5,5,23.0,7.8,1231.0,9.0,243
266,"['June 11, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Yoko Ikeda'],10.2,5,19.0,7.8,1208.0,9.0,218
267,"['June 18, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Yoshihiro Ueda'],10.6,4,25.0,7.9,1241.0,9.0,223
268,"['June 25, 2006']",['Hirohiko Kamisaka'],"['Miho Shiraishi', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Hiroaki Miyamoto'],10.2,4,16.0,7.9,1248.0,9.0,211
269,"['June 25, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Masayuki Takagi'],['Katsumi Tokoro'],10.2,4,14.0,8.0,1283.0,9.0,239
270,"['July 2, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Takahiro Imamura'],11.1,3,1.0,8.7,2334.0,9.0,278
271,"['July 9, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Yoshihiro Ueda'],11.5,3,11.0,8.1,1395.0,9.0,218
272,"['July 23, 2006']",['Hirohiko Kamisaka'],"['Miho Shiraishi', 'Kunihiro Chida']",['Kenji Yokoyama'],['Hiroyuki Kakudō'],9.4,4,25.0,8.4,1785.0,9.4,329
273,"['July 30, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Katsumi Ishizuka'],['Munehisa Sakai'],9.1,4,24.0,9.3,4026.0,9.6,374
274,"['August 6, 2006']",['Hirohiko Kamisaka'],"['Miho Shiraishi', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Yoko Ikeda'],10.1,3,17.0,9.5,5666.0,9.6,368
275,"['August 13, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Noboru Koizumi'],['Hiroaki Miyamoto'],8.4,5,33.0,9.0,3475.0,9.4,302
276,"['September 10, 2006']",['Hirohiko Kamisaka'],"['Miho Shiraishi', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Toru Yamada'],10.3,6,34.0,9.1,3476.0,9.2,233
277,"['September 24, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Takeo Ide'],['Takahiro Imamura'],13.2,1,34.0,9.4,4613.0,9.4,296
278,"['September 24, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Kunihiro Chida']",['Naoki Tate'],['Yoshihiro Ueda'],13.2,1,34.0,9.7,21495.0,9.6,559
279,"['October 1, 2006']",['N/A'],"['Ryūji Yoshiike', 'Miho Shiraishi']",['Kazuya Hisada'],['Munehisa Sakai'],6.7,4,0.0,6.2,1021.0,7.6,200
280,"['October 8, 2006']",['N/A'],"['Ryūji Yoshiike', 'Miho Shiraishi']",['Naoki Tate'],"['Munehisa Sakai', 'Yoko Ikeda']",6.2,6,0.0,5.8,1029.0,7.6,157
281,"['October 15, 2006']",['N/A'],"['Ryūji Yoshiike', 'Miho Shiraishi']",['Takeo Ide'],"['Munehisa Sakai', 'Yoko Ikeda']",6.6,3,0.0,6.0,1014.0,7.4,150
282,"['October 22, 2006']",['N/A'],"['Ryūji Yoshiike', 'Miyuki Sato']",['Noboru Koizumi'],"['Munehisa Sakai', 'Yoko Ikeda']",6.5,4,0.0,5.8,1006.0,7.8,124
283,"['October 29, 2006']",['N/A'],['Miyuki Sato'],['Takeo Ide'],"['Munehisa Sakai', 'Yoko Ikeda']",6.4,9,0.0,5.8,998.0,7.0,162
284,"['November 5, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Eisaku Inoue'],['Hiroyuki Kakudō'],6.9,7,18.0,8.1,1358.0,8.6,240
285,"['November 12, 2006']",['Koga Naoki'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kazuya Hisada'],['Takahiro Imamura'],6.3,8,15.0,7.8,1214.0,8.8,244
286,"['November 19, 2006']",['Hirohiko Kamisaka'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Yoshihiro Ueda'],5.6,8,22.0,7.9,1230.0,8.8,224
